FINANCIAL_YEAR,COMPANY,BTERMSTEMPLATES,BILL_NO.,BILL_DATE,MONTH,YEAR,SRLNO,accd,CONTROL_ACCOUNT,CUSTOMER,COUNTRY,STATE,CITY,CONSIGNEE,itemcd,ITEM,QUANTITY,RATE,VALUE,LOCATIONNAME,personcd,SALESMAN,MAIN_GROUP,SUB_GROUP,ITEM_GROUP,locationcode
01-04-2020-31-03-2021,ARTEK SURFIN CHEMICALS LTD.,EXPORT (EINV) (GST EXEMPTED),EAD/00144/20-21,21-Jan-21,January,2021,2,18961,SUNDRY DEBTORS - EXPORTS,FOSHAN ARTEK FINISHING TECHNOLOGIES LIMITED,CHINA,GUANGDONG,FOSHAN,FOSHAN ARTEK FINISHING TECHNOLOGIES LIMITED,49545,COPPER ADDITIVE 286 : 200 KGS DRUM.,800,216.9,173520,ARTEK - DAMAN,295,EXPORT ,BUILDING CONSTRUCTION,BUILDING MATERIAL,,7
01-04-2021-31-03-2022,ARTEK SURFIN CHEMICALS LTD.,EXPORT SALE (GST-EXEMPTED),EAD/00132/21-22,15-Nov-21,November,2021,6,18961,SUNDRY DEBTORS - EXPORTS,FOSHAN ARTEK FINISHING TECHNOLOGIES LIMITED,CHINA,GUANGDONG,FOSHAN,FOSHAN ARTEK FINISHING TECHNOLOGIES LIMITED,49545,COPPER ADDITIVE 286 : 200 KGS DRUM.,1000,221.55,221550,ARTEK - DAMAN,295,EXPORT ,BUILDING CONSTRUCTION,BUILDING MATERIAL,,7
01-04-2021-31-03-2022,ARTEK SURFIN CHEMICALS LTD.,EXPORT SALE (GST-EXEMPTED),EAD/00106/21-22,23-Sep-21,September,2021,8,18961,SUNDRY DEBTORS - EXPORTS,FOSHAN ARTEK FINISHING TECHNOLOGIES LIMITED,CHINA,GUANGDONG,FOSHAN,FOSHAN ARTEK FINISHING TECHNOLOGIES LIMITED,49545,COPPER ADDITIVE 286 : 200 KGS DRUM.,800,218.1,174480,ARTEK - DAMAN,295,EXPORT ,BUILDING CONSTRUCTION,BUILDING MATERIAL,,7
01-04-2020-31-03-2021,ARTEK SURFIN CHEMICALS LTD.,EXPORT SALE (GST-EXEMPTED),EAD/00029/20-21,26-Jun-20,June,2020,3,18961,SUNDRY DEBTORS - EXPORTS,FOSHAN ARTEK FINISHING TECHNOLOGIES LIMITED,CHINA,GUANGDONG,FOSHAN,FOSHAN ARTEK FINISHING TECHNOLOGIES LIMITED,49545,COPPER ADDITIVE 286 : 200 KGS DRUM.,600,226.05,135630,ARTEK - DAMAN,295,EXPORT ,BUILDING CONSTRUCTION,BUILDING MATERIAL,,7
01-04-2020-31-03-2021,ARTEK SURFIN CHEMICALS LTD.,EXPORT SALE (GST-EXEMPTED),EAD/00117/20-21,2-Dec-20,December,2020,3,18961,SUNDRY DEBTORS - EXPORTS,FOSHAN ARTEK FINISHING TECHNOLOGIES LIMITED,CHINA,GUANGDONG,FOSHAN,FOSHAN ARTEK FINISHING TECHNOLOGIES LIMITED,49545,COPPER ADDITIVE 286 : 200 KGS DRUM.,800,220.5,176400,ARTEK - DAMAN,295,EXPORT ,BUILDING CONSTRUCTION,BUILDING MATERIAL,,7
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/01336/20-21,12-Jul-20,July,2020,2,18917,SUNDRY DEBTORS - DOMESTIC,GRIPWELL FASTNERS PVT. LTD. (V.CODE SUP004239),INDIA,UTTAR PRADESH,NOIDA,GRIPWELL FASTNERS PVT. LTD. (V.CODE SUP004239),19042,KEMPAS TR 2375 A U : 30 LTR CARBOYS,300,427,128100,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,PASSIVATION,PASSIVATION TRIVALENT,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/01336/20-21,12-Jul-20,July,2020,3,18917,SUNDRY DEBTORS - DOMESTIC,GRIPWELL FASTNERS PVT. LTD. (V.CODE SUP004239),INDIA,UTTAR PRADESH,NOIDA,GRIPWELL FASTNERS PVT. LTD. (V.CODE SUP004239),19041,KEMPAS TYB SPL U : 30 LTR CARBOYS,60,325,19500,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,PASSIVATION,PASSIVATION TRIVALENT,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/02709/20-21,25-Aug-20,August,2020,2,18848,SUNDRY DEBTORS - DOMESTIC,UNIPARTS INDIA LIMITED (V.CODE SUP004239),INDIA,ANDHRA PRADESH,VISAKHAPATNAM,UNIPARTS INDIA LIMITED (V.CODE SUP004239),26506,SURFOLIN EL 80 MS U : 30 KGS BAG,600,80,48000,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,CLEANERS,CLEANERS ELECTROLYTIC,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/02709/20-21,25-Aug-20,August,2020,5,18848,SUNDRY DEBTORS - DOMESTIC,UNIPARTS INDIA LIMITED (V.CODE SUP004239),INDIA,ANDHRA PRADESH,VISAKHAPATNAM,UNIPARTS INDIA LIMITED (V.CODE SUP004239),16829,MILLENIUM NCZ 511 B U : 30 LTR CARBOYS,210,88.2,18522,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,NON CYNIDE ALKALINE ZINC,NCZ ADDITIVES,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/02891/20-21,29-Aug-20,August,2020,1,12920,SUNDRY DEBTORS - DOMESTIC,KNITPRO INTERNATIONAL,INDIA,RAJASTHAN,JAIPUR,KNITPRO INTERNATIONAL,3097,ALUMAX SEAL H 7590 : 30 LTR CARBOYS,150,230,34500,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,ANODISING,ANODIZING OTHERS,39
01-04-2020-31-03-2021,ARTEK EXPORTS LLP,EXEMPT SALE - SEZ (GST NIL),AET/02891/20-21,29-Aug-20,August,2020,2,12920,SUNDRY DEBTORS - DOMESTIC,KNITPRO INTERNATIONAL,INDIA,RAJASTHAN,JAIPUR,KNITPRO INTERNATIONAL,3040,ALUMAX BUFFER DS : 30 LTR CARBOYS,60,56,3360,ARTEK EXPORTS - TARAPUR,335,DELHI - AREA ,FINISHED GOODS,ANODISING,ANODIZING OTHERS,39
